EP_href,EP_id,first,last,league,position,season,gp,g,a,plus_minus
https://www.eliteprospects.com/player/45591/kyle-hope,45591,kyle,hope,ohl,LW,2010-2011,55,2,11,-1.0
https://www.eliteprospects.com/player/45541/saverio-posa,45541,saverio,posa,ohl,D,2010-2011,59,2,11,0.0
https://www.eliteprospects.com/player/91624/cody-payne,91624,cody,payne,ohl,RW,2010-2011,50,1,12,7.0
https://www.eliteprospects.com/player/45403/brady-austin,45403,brady,austin,ohl,D,2010-2011,59,1,12,10.0
https://www.eliteprospects.com/player/89694/adam-pelech,89694,adam,pelech,ohl,D,2010-2011,65,1,12,14.0
https://www.eliteprospects.com/player/45387/zach-hall,45387,zach,hall,ohl,C/LW,2010-2011,38,8,4,-24.0
https://www.eliteprospects.com/player/37675/johnson-andrews,37675,johnson,andrews,ohl,RW,2010-2011,35,6,6,4.0
https://www.eliteprospects.com/player/45552/mike-macintyre,45552,mike,macintyre,ohl,D,2010-2011,58,6,6,-8.0
https://www.eliteprospects.com/player/84909/mackenzie-braid,84909,mackenzie,braid,ohl,D,2010-2011,59,5,7,-14.0
https://www.eliteprospects.com/player/45573/jamie-wise,45573,jamie,wise,ohl,LW,2010-2011,40,4,8,2.0
https://www.eliteprospects.com/player/61950/nicholas-foglia,61950,nicholas,foglia,ohl,C,2010-2011,67,4,8,-8.0
https://www.eliteprospects.com/player/19151/tim-billingsley,19151,tim,billingsley,ohl,D,2010-2011,43,3,9,15.0
https://www.eliteprospects.com/player/45395/zach-bell,45395,zach,bell,ohl,D,2010-2011,63,3,9,-2.0
https://www.eliteprospects.com/player/76158/brandon-devlin,76158,brandon,devlin,ohl,D,2010-2011,64,3,9,-26.0
https://www.eliteprospects.com/player/79402/andrey-pedan,79402,andrey,pedan,ohl,D,2010-2011,51,2,10,-11.0
https://www.eliteprospects.com/player/92059/andreas-tsogkas,92059,andreas,tsogkas,ohl,C,2010-2011,52,2,10,-3.0
https://www.eliteprospects.com/player/19355/adam-sedlak,19355,adam,sedlak,ohl,D,2010-2011,59,2,10,17.0
https://www.eliteprospects.com/player/92686/garrett-hooey,92686,garrett,hooey,ohl,C,2010-2011,62,8,3,-8.0
https://www.eliteprospects.com/player/45548/justin-sefton,45548,justin,sefton,ohl,D,2010-2011,66,5,6,-8.0
https://www.eliteprospects.com/player/45568/anthony-donati,45568,anthony,donati,ohl,D,2010-2011,35,4,7,-7.0
https://www.eliteprospects.com/player/76491/norm-ezekiel,76491,norm,ezekiel,ohl,RW/D,2010-2011,58,4,7,-14.0
https://www.eliteprospects.com/player/92677/chris-tierney,92677,chris,tierney,ohl,C,2010-2011,47,3,8,-10.0
https://www.eliteprospects.com/player/37623/julian-luciani,37623,julian,luciani,ohl,D,2010-2011,56,3,8,6.0
https://www.eliteprospects.com/player/45590/jimmy-mcdowell,45590,jimmy,mcdowell,ohl,D,2010-2011,60,3,8,7.0
https://www.eliteprospects.com/player/18632/bjorn-krupp,18632,bjorn,krupp,ohl,D,2010-2011,61,1,10,-35.0
